,X,unique.ID,Family,New.Genus,New.Species,TPL.name,Site,Block,Plot,Indiv.ID,Stem.ID,Age.class,Dead.19,Diam.18,date.18,hght.18,hght.19,Abn.18,Load.18,Prev.18,Load.19,Prev.19,note,Diam.19,date.19,Diam,Cut,treatment.perc.cut,date.23,scribe.23,diam.23,dead.23,coi.23,prev.23,canopy.liana.23,stems24.23,stems46.23,stems68.23,stems810.23,stems10pl.23,total.stems.23,notes.23,leaning.23,multistem.23,alt.pom.23,broken.23,retag.no.23,notes.to.rw,remove_rgr,why_remove,timber_spp,pre_liana_presence,post_liana_presence
2900,2853,2011a,,Litsea,sp,Litsea sp,Site4,Block17,Plot17e,2011,a,juvenile,0,2.83,01/10/2018,NA,NA,NA,NA,1,NA,0,,NA,NA,2.83,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2901,2854,2012a,Rubiaceae,Praravinia,suberosa,Praravinia suberosa,Site4,Block17,Plot17e,2012,a,juvenile,0,3.01,01/10/2018,NA,NA,NA,NA,1,NA,0,,NA,NA,3.01,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2902,2855,2013a,Euphorbiaceae,Macaranga,hypoleuca,Macaranga hypoleuca,Site4,Block17,Plot17e,2013,a,juvenile,0,9.1,01/10/2018,NA,NA,NA,NA,1,NA,0,,NA,NA,9.1,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2903,2856,2014a,Urticaceae,Dendrocnide,elliptica,Dendrocnide elliptica,Site4,Block17,Plot17e,2014,a,juvenile,0,1.1,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,1.1,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
2904,2857,2015a,Phyllanthaceae,Cleistanthus,hirsutulus,Cleistanthus hirsutulus,Site4,Block17,Plot17e,2015,a,juvenile,0,2.15,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,2.15,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2905,2858,2016a,Phyllanthaceae,Aporosa,subcaudata,Aporosa subcaudata,Site4,Block17,Plot17e,2016,a,juvenile,0,3.67,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,3.67,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2906,2859,2017a,Rutaceae,Melicope,lunu-ankenda,Melicope lunu-ankenda,Site4,Block17,Plot17e,2017,a,juvenile,0,2.72,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,2.72,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2907,2860,2018a,Phyllanthaceae,Cleistanthus,hirsutulus,Cleistanthus hirsutulus,Site4,Block17,Plot17e,2018,a,juvenile,0,3.62,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,3.62,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2908,2861,2019a,,Saurauia,sp,Saurauia sp,Site4,Block17,Plot17e,2019,a,juvenile,0,1.3,01/10/2018,NA,NA,NA,NA,0,NA,1,,NA,NA,1.3,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2909,2862,201a,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site4,Block20,Plot20e,201,a,juvenile,0,2.77,01/10/2018,NA,NA,NA,NA,0,NA,1,,NA,NA,2.77,1,60,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2910,2863,2020a,,NA,NA,NA,Site4,Block17,Plot17e,2020,a,juvenile,0,9.2,01/10/2018,NA,NA,NA,NA,1,NA,0,prostrate / multiple stem,NA,NA,9.2,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,,0,1,NA
2911,2864,2020b,,NA,NA,NA,Site4,Block17,Plot17e,2020,b,juvenile,NA,1.53,01/10/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
2912,2865,2021a,Meliaceae,Aglaia,odoratissima,Aglaia odoratissima,Site4,Block17,Plot17e,2021,a,juvenile,0,1.25,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,1.25,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2913,2866,2022a,Meliaceae,Aglaia,odoratissima,Aglaia odoratissima,Site4,Block17,Plot17e,2022,a,juvenile,0,2.02,01/10/2018,NA,NA,NA,NA,0,NA,1,,NA,NA,2.02,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,NA
2914,2867,2023a,Meliaceae,Aglaia,odoratissima,Aglaia odoratissima,Site4,Block17,Plot17e,2023,a,juvenile,0,1.23,01/10/2018,NA,NA,NA,NA,1,NA,1,multiple stem,NA,NA,1.23,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,,0,1,NA
2915,2868,2023b,Meliaceae,Aglaia,odoratissima,Aglaia odoratissima,Site4,Block17,Plot17e,2023,b,juvenile,NA,1.05,01/10/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,0,0,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
