,X,unique.ID,Family,New.Genus,New.Species,TPL.name,Site,Block,Plot,Indiv.ID,Stem.ID,Age.class,Dead.19,Diam.18,date.18,hght.18,hght.19,Abn.18,Load.18,Prev.18,Load.19,Prev.19,note,Diam.19,date.19,Diam,Cut,treatment.perc.cut,date.23,scribe.23,diam.23,dead.23,coi.23,prev.23,canopy.liana.23,stems24.23,stems46.23,stems68.23,stems810.23,stems10pl.23,total.stems.23,notes.23,leaning.23,multistem.23,alt.pom.23,broken.23,retag.no.23,notes.to.rw,remove_rgr,why_remove,timber_spp,pre_liana_presence,post_liana_presence
8212,8165,6462a,,NA,NA,NA,Site1,Block63,Plot63c,6462,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,leaing/abn,10.6,08/07/2019,10.6,1,80,10/08/2023,AJ,25.5,0,1,NA,7,0,NA,NA,NA,NA,0,,0,0,0,0,12000,,0,,0,1,1
8213,8166,6463a,Dipterocarpaceae,Shorea,beccariana,Shorea beccariana,Site1,Block63,Plot63c,6463,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,13,08/07/2019,13,1,80,10/08/2023,AJ,16.4,0,0,NA,0, ,0,NA,NA,NA,NA,,0,0,0,0,11992,,0,,1,1,0
8214,8167,6464a,Rubiaceae,Neolamarckia,cadamba,Neolamarckia cadamba,Site1,Block63,Plot63c,6464,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,66,08/07/2019,66,1,80,10/08/2023,AJ,69.5,0,1,NA,1,1,1,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
8215,8168,6465a,Euphorbiaceae,Endospermum,diadenum,Endospermum diadenum,Site1,Block63,Plot63c,6465,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,38.5,08/07/2019,38.5,1,80,10/08/2023,AJ,43.7,0,0,NA,0,3,0,NA,NA,NA,3,,0,0,0,0,NA,,0,,0,1,1
8216,8169,6466a,Rubiaceae,Nauclea,subdita,Nauclea subdita,Site1,Block63,Plot63c,6466,a,adult,,NA,NA,NA,NA,NA,NA,NA,3,1,,11.7,08/07/2019,11.7,1,80,10/08/2023,AJ,18.1,0,0,NA,0,1,0,NA,NA,NA,1,,0,0,0,0,11994,,0,,0,1,1
8217,8170,6467a,Fagaceae,Lithocarpus,leptogyne,Lithocarpus leptogyne,Site1,Block63,Plot63c,6467,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,13.7,08/07/2019,13.7,1,80,10/08/2023,AJ,18.6,0,0,NA,0,0,0,NA,NA,NA,0,,0,0,0,0,11993,,0,,0,1,0
8218,8171,6468a,Elaeocarpaceae,Elaeocarpus,brunnescens,Elaeocarpus brunnescens,Site1,Block63,Plot63c,6468,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,11.7,08/07/2019,11.7,1,80,10/08/2023,AJ,11.5,0,1,NA,3,0,NA,NA,NA,NA,0,missing ID,0,0,0,0,11996,,0,,0,1,1
8219,8172,6469a,Phyllanthaceae,Cleistanthus,oblongifolius,Cleistanthus oblongifolius,Site1,Block63,Plot63c,6469,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,10.8,08/07/2019,10.8,1,80,10/08/2023,AJ,15.8,0,1,NA,1,0,NA,NA,NA,NA,0,,1,0,0,0,NA,,0,,0,1,1
8220,8173,646a,Phyllanthaceae,Aporosa,frutescens,Aporosa frutescens,Site4,Block24,Plot24b,646,a,sappling,0,NA,01/10/2018,64.3,73,NA,NA,0,NA,0,,6.499230724,NA,6.499230724,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8221,8174,6470a,,Microcos,sp,Microcos sp,Site1,Block63,Plot63c,6470,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,14.9,08/07/2019,14.9,1,80,10/08/2023,AJ,18.8,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
8222,8175,6471a,Dipterocarpaceae,Shorea,gibbosa,Shorea gibbosa,Site1,Block63,Plot63c,6471,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,11.4,08/07/2019,11.4,1,80,10/08/2023,AJ,15.9,0,1,NA,1,0,NA,NA,NA,NA,0,,1,0,0,0,11995,,0,,1,1,1
8223,8176,6472a,,Syzygium,sp,Syzygium sp,Site1,Block63,Plot63c,6472,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,11.2,08/07/2019,11.2,1,80,10/08/2023,AJ,12.1,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
8224,8177,6473a,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,Site1,Block63,Plot63c,6473,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,48.9,08/07/2019,48.9,1,80,10/08/2023,AJ,53.2,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
8225,8178,6474a,,NA,NA,NA,Site1,Block63,Plot63c,6474,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,40,08/07/2019,40,1,80,10/08/2023,AJ,41.2,0,0,NA,0,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8226,8179,6475a,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site1,Block63,Plot63c,6475,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,10.4,08/07/2019,10.4,1,80,10/08/2023,AJ,13,0,0,NA,0,1,NA,NA,NA,NA,1,,0,0,0,0,11998,,0,,0,1,1
8227,8180,6476a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site1,Block63,Plot63c,6476,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,12.2,08/07/2019,12.2,1,80,10/08/2023,AJ,14.4,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,11999,,0,,1,1,0
8228,8181,6477a,Euphorbiaceae,Mallotus,floribundus,Mallotus floribundus,Site1,Block63,Plot63c,6477,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.224989796,08/07/2019,1.224989796,1,80,10/08/2023,AJ,1.59,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,0
8229,8182,6478a,Phyllanthaceae,Baccaurea,edulis,Baccaurea edulis,Site1,Block63,Plot63c,6478,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.51499503,08/07/2019,2.51499503,1,80,10/08/2023,AJ,2.82,0,0,1,1,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,0,1
8230,8183,6479a,Euphorbiaceae,Mallotus,floribundus,Mallotus floribundus,Site1,Block63,Plot63c,6479,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,1.884940317,08/07/2019,1.884940317,1,80,10/08/2023,AJ,2.28,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,NA,,0,,0,1,0
8231,8184,647a,Euphorbiaceae,Neoscortechinia,philippinensis,Neoscortechinia philippinensis,Site4,Block24,Plot24b,647,a,sappling,0,NA,01/10/2018,55,66,NA,NA,0,NA,0,,7.24844811,NA,7.24844811,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8232,8185,6480a,,Diospyros,sp,Diospyros sp,Site1,Block63,Plot63c,6480,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,4.25497356,08/07/2019,4.25497356,1,80,10/08/2023,AJ,5.19,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,0
8233,8186,6481a,Rubiaceae,Praravinia,suberosa,Praravinia suberosa,Site1,Block63,Plot63c,6481,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,5.226107538,08/07/2019,5.226107538,1,80,10/08/2023,AJ,6.15,1,0,0,0,0,0,0,0,0,0,standing dead,0,0,0,0,NA,,1,dead,0,1,0
8234,8187,6482a,Euphorbiaceae,Mallotus,floribundus,Mallotus floribundus,Site1,Block63,Plot63c,6482,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,8.2,08/07/2019,8.2,1,80,10/08/2023,AJ,9,0,0,1,6,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,1
8235,8188,6483a,Myristicaceae,Knema,latericia,Knema latericia,Site1,Block63,Plot63c,6483,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,5.9,08/07/2019,5.9,1,80,10/08/2023,AJ,7.3,0,0,1,2,3,NA,NA,NA,NA,3,,0,0,0,0,NA,,0,,0,1,1
8236,8189,6484a,Euphorbiaceae,Mallotus,floribundus,Mallotus floribundus,Site1,Block63,Plot63c,6484,a,sappling,,NA,NA,NA,155,NA,NA,NA,NA,0,,12.5499004,08/07/2019,12.5499004,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8237,8190,6485a,Cornaceae,Alangium,javanicum,Alangium javanicum,Site1,Block63,Plot63c,6485,a,sappling,,NA,NA,NA,82,NA,NA,NA,NA,0,,7.1,08/07/2019,7.1,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8238,8191,6486a,Meliaceae,Aglaia,odoratissima,Aglaia odoratissima,Site1,Block63,Plot63c,6486,a,sappling,,NA,NA,NA,132,NA,NA,NA,NA,NA,,11.19955356,08/07/2019,11.19955356,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8239,8192,6487a,Euphorbiaceae,Mallotus,floribundus,Mallotus floribundus,Site1,Block63,Plot63c,6487,a,sappling,,NA,NA,NA,106,NA,NA,NA,NA,0,,12.44748971,08/07/2019,12.44748971,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8240,8193,6488a,Annonaceae,Pseuduvaria,reticulata,Pseuduvaria reticulata,Site1,Block63,Plot63c,6488,a,sappling,,NA,NA,NA,205,NA,NA,NA,NA,0,,18.09557957,08/07/2019,18.09557957,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8241,8194,6489a,,Saurauia,sp,Saurauia sp,Site1,Block63,Plot63c,6489,a,sappling,,NA,NA,NA,118,NA,NA,NA,NA,0,,10.6995327,08/07/2019,10.6995327,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8242,8195,648a,Convolvulaceae,Erycibe,borneensis,Erycibe borneensis,Site4,Block24,Plot24b,648,a,sappling,0,NA,01/10/2018,64,69,NA,NA,0,NA,0,,5.449770637,NA,5.449770637,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8243,8196,6490a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6490,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,18.7,09/07/2019,18.7,1,80,10/08/2023,AJ,20.6,0,0,NA,0,7,NA,NA,NA,NA,7,broken top,0,0,0,1,NA,,0,,0,1,1
8244,8197,6491a,Sapindaceae,Guioa,pleuropteris,Guioa pleuropteris,Site1,Block63,Plot63e,6491,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,13.2,09/07/2019,13.2,1,80,10/08/2023,AJ,18.7,0,1,NA,4,3,NA,NA,NA,NA,3,,0,0,0,0,11974,,0,,0,1,1
8245,8198,6492a,Elaeocarpaceae,Elaeocarpus,stipularis,Elaeocarpus stipularis,Site1,Block63,Plot63e,6492,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,12.5,09/07/2019,12.5,1,80,10/08/2023,AJ,14.4,0,1,NA,1,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8246,8199,6493a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6493,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,16.7,09/07/2019,16.7,1,80,10/08/2023,AJ,20,0,0,NA,0,7,NA,NA,NA,NA,7,,0,0,0,0,11975,,0,,0,1,1
8247,8200,6494a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6494,a,adult,,NA,NA,NA,NA,NA,NA,NA,3,1,,11.8,09/07/2019,11.8,1,80,10/08/2023,AJ,12.1,0,1,NA,1,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
8248,8201,6495a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6495,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,21.7,09/07/2019,21.7,1,80,10/08/2023,AJ,27.5,0,0,NA,0,4,NA,NA,NA,NA,4,new POM,0,0,1,0,NA,,1,alt pom,0,1,1
8249,8202,6496a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6496,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,11.2,09/07/2019,11.2,1,80,10/08/2023,AJ,11.5,0,0,NA,0,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8250,8203,6497a,Rubiaceae,Nauclea,subdita,Nauclea subdita,Site1,Block63,Plot63e,6497,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,butt,37.5,09/07/2019,37.5,1,80,10/08/2023,AJ,40.2,0,4,NA,10,5,NA,NA,NA,NA,5,,0,0,0,0,NA,,0,,0,1,1
8251,8204,6498a,Lythraceae,Duabanga,moluccana,Duabanga moluccana,Site1,Block63,Plot63e,6498,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,47.8,09/07/2019,47.8,1,80,10/08/2023,AJ,49.5,0,0,NA,0,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
8252,8205,6499a,Datiscaceae,Octomelis,sumatranus,Octomelis sumatranus,Site1,Block63,Plot63e,6499,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,leaning,22.2,09/07/2019,22.2,1,80,10/08/2023,AJ,22.7,0,1,NA,3,7,NA,NA,NA,NA,7,now straight,0,0,0,0,NA,,0,,0,1,1
8253,8206,649a,,Aporosa,sp,Aporosa sp,Site4,Block24,Plot24d,649,a,adult,0,15.7,01/10/2018,NA,NA,0,0,0,1,1,,NA,NA,15.7,1,80,10/07/2023,AJ,16.9,0,0,NA,0,0,0,0,0,0,0,,0,0,0,0,11702,,0,,0,1,0
8254,8207,64a,,Litsea,sp,Litsea sp,Site4,Block20,Plot20a,64,a,sappling,0,NA,01/10/2018,96,98,NA,NA,0,NA,0,,10.84711943,NA,10.84711943,1,60,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,0
8255,8208,6500a,Sapindaceae,Guioa,pleuropteris,Guioa pleuropteris,Site1,Block63,Plot63e,6500,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,11.3,09/07/2019,11.3,1,80,10/08/2023,AJ,13.3,0,0,NA,0,2,NA,NA,NA,NA,2,prostate,0,0,0,0,11976,,0,,0,1,1
8256,8209,6501a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6501,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,10.9,09/07/2019,10.9,1,80,10/08/2023,AJ,14.1,0,1,NA,5,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8257,8210,6502a,Rubiaceae,Nauclea,subdita,Nauclea subdita,Site1,Block63,Plot63e,6502,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,20.9,09/07/2019,20.9,1,80,10/08/2023,AJ,20,0,2,NA,7,7,NA,NA,NA,NA,7,,0,0,0,0,NA,,0,,0,1,1
8258,8211,6502b,Rubiaceae,Nauclea,subdita,Nauclea subdita,Site1,Block63,Plot63e,6502,b,adult,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,13,09/07/2019,13,1,80,10/08/2023,AJ,13.8,0,0,NA,0,NA,NA,NA,NA,NA,NA,,0,0,0,0,NA,,0,,0,0,0
8259,8212,6503a,,Diospyros,sp,Diospyros sp,Site1,Block63,Plot63e,6503,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,12.1,09/07/2019,12.1,1,80,10/08/2023,AJ,15.7,0,1,NA,6,9,NA,NA,NA,NA,9,,0,0,0,0,NA,,0,,0,1,1
8260,8213,6504a,Rubiaceae,Neolamarckia,cadamba,Neolamarckia cadamba,Site1,Block63,Plot63e,6504,a,adult,,NA,NA,NA,NA,NA,NA,NA,0,0,broken,37.8,09/07/2019,37.8,1,80,10/08/2023,AJ,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead,0,0,0,0,NA,,1,dead,0,0,0
8261,8214,6505a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6505,a,adult,,NA,NA,NA,NA,NA,NA,NA,0,0,abn/butt,17.5,09/07/2019,17.5,1,80,10/08/2023,AJ,20.8,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,0
8262,8215,6506a,Thymelaeaceae,Aquilaria,malaccensis,Aquilaria malaccensis,Site1,Block63,Plot63e,6506,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,2.676845158,09/07/2019,2.676845158,1,80,10/08/2023,AJ,4.35,0,0,1,2,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8263,8216,6507a,Vitaceae,Leea,aculeata,Leea aculeata,Site1,Block63,Plot63e,6507,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,prostrate,1.71997093,09/07/2019,1.71997093,1,80,10/08/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,0,0,0,0,NA,,0,,0,0,0
8264,8217,6507b,Vitaceae,Leea,aculeata,Leea aculeata,Site1,Block63,Plot63e,6507,b,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.679970238,09/07/2019,1.679970238,1,80,10/08/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,0,0,0,0,NA,,0,,0,0,0
8265,8218,6508a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6508,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,1.004987562,09/07/2019,1.004987562,1,80,10/08/2023,AJ,1.85,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,0
8266,8219,6509a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6509,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,7.7,09/07/2019,7.7,1,80,10/08/2023,AJ,8.2,0,0,1,0,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,0,1
8267,8220,650a,Sapindaceae,Nephelium,ramboutan-ake,Nephelium ramboutan-ake,Site4,Block24,Plot24d,650,a,adult,0,38,01/10/2018,NA,NA,7,4,1,3,1,,NA,NA,38,1,80,10/07/2023,AJ,38.7,0,0,NA,2,0,1,0,0,0,1,alt POM due to buttress,0,0,1,0,NA,,1,alt pom,0,1,1
8268,8221,6510a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site1,Block63,Plot63e,6510,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,1.114988789,09/07/2019,1.114988789,1,80,10/08/2023,AJ,1.12,0,0,1,1,1,NA,NA,NA,NA,1,,0,0,0,0,11977,,0,,0,1,1
8269,8222,6511a,Meliaceae,Dysoxylum,alliaceum,Dysoxylum alliaceum,Site1,Block63,Plot63e,6511,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,prostrate,3.889794339,09/07/2019,3.889794339,1,80,10/08/2023,AJ,4.91,0,0,1,0,1,NA,NA,NA,NA,1,,1,1,0,0,NA,,0,,0,1,1
8270,8223,6512a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6512,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,2.649924527,09/07/2019,2.649924527,1,80,10/08/2023,AJ,3.15,0,0,1,2,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
8271,8224,6513a,Vitaceae,Leea,aculeata,Leea aculeata,Site1,Block63,Plot63e,6513,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.734992795,09/07/2019,1.734992795,1,80,10/08/2023,AJ,3.4,0,0,0,0,0,0,0,0,0,0,no longer multistem,0,0,0,0,NA,,0,,0,0,0
8272,8225,6513b,Vitaceae,Leea,aculeata,Leea aculeata,Site1,Block63,Plot63e,6513,b,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.589874209,09/07/2019,1.589874209,1,80,10/08/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no longer multistem,0,0,0,0,NA,,0,,0,0,0
8273,8226,6514a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6514,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,1.234989879,09/07/2019,1.234989879,1,80,10/08/2023,AJ,2.35,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,0
8274,8227,6515a,Vitaceae,Leea,indica,Leea indica,Site1,Block63,Plot63e,6515,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,2.274950549,09/07/2019,2.274950549,1,80,10/08/2023,AJ,2.31,0,0,0,0,0,0,0,0,0,0,no longer multistem,0,0,0,0,NA,,0,,0,1,0
8275,8228,6515b,Vitaceae,Leea,indica,Leea indica,Site1,Block63,Plot63e,6515,b,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3.649986301,09/07/2019,3.649986301,1,80,10/08/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no longer multistem,0,0,0,0,NA,,0,,0,0,0
8276,8229,6516a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6516,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,5.7,09/07/2019,5.7,1,80,10/08/2023,AJ,5.9,0,0,1,1,3,NA,NA,NA,NA,3,,0,0,0,0,NA,,0,,0,1,1
8277,8230,6517a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6517,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,2.429259146,09/07/2019,2.429259146,1,80,10/08/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,0,0,0,0,NA,,0,,0,1,0
8278,8231,6518a,Vitaceae,Leea,indica,Leea indica,Site1,Block63,Plot63e,6518,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,leaning,1.66,09/07/2019,1.66,1,80,10/08/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,broken at POM but alive,0,0,0,1,NA,,0,,0,1,0
8279,8232,6518b,Vitaceae,Leea,indica,Leea indica,Site1,Block63,Plot63e,6518,b,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,NA,leaning,1.459691748,09/07/2019,1.459691748,1,80,10/08/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,broken at POM but alive,0,0,0,1,NA,,0,,0,0,0
8280,8233,6519a,Vitaceae,Leea,aculeata,Leea aculeata,Site1,Block63,Plot63e,6519,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,3.264904286,09/07/2019,3.264904286,1,80,10/08/2023,AJ,3.13,0,0,1,3,3,NA,NA,NA,NA,3,,0,1,0,0,NA,,0,,0,1,1
8281,8234,6519b,Vitaceae,Leea,aculeata,Leea aculeata,Site1,Block63,Plot63e,6519,b,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.023956521,09/07/2019,2.023956521,1,80,10/08/2023,AJ,3.56,0,0,NA,0,NA,NA,NA,NA,NA,NA,,0,1,0,0,NA,,0,,0,0,0
8282,8235,651a,,Shorea,sp,Shorea sp,Site4,Block24,Plot24d,651,a,adult,0,12.5,01/10/2018,NA,NA,3,2,1,2,1,,NA,NA,12.5,1,80,10/07/2023,AJ,13.9,0,0,NA,0,0,0,0,0,0,0,,1,0,0,0,11703,,0,,0,1,0
8283,8236,6520a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6520,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,1.294990347,09/07/2019,1.294990347,1,80,10/08/2023,AJ,1.93,0,0,1,1,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8284,8237,6521a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6521,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,4.269578434,09/07/2019,4.269578434,1,80,10/08/2023,AJ,4.91,0,0,1,1,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
8285,8238,6522a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6522,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,2.327853088,09/07/2019,2.327853088,1,80,10/08/2023,AJ,2.53,0,0,1,2,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8286,8239,6523a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6523,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,1.694815624,09/07/2019,1.694815624,1,80,10/08/2023,AJ,2.19,0,0,1,1,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
8287,8240,6524a,,Pterospermum,sp,Pterospermum sp,Site1,Block63,Plot63e,6524,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,1.014987685,09/07/2019,1.014987685,1,80,10/08/2023,AJ,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead,0,0,0,0,NA,,1,dead,0,1,0
8288,8241,6525a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site1,Block63,Plot63e,6525,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.214989712,09/07/2019,1.214989712,1,80,10/08/2023,AJ,1.65,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,0
8289,8242,6526a,Vitaceae,Leea,indica,Leea indica,Site1,Block63,Plot63e,6526,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.064988263,09/07/2019,1.064988263,1,80,10/08/2023,AJ,1.45,0,0,1,0,1,NA,NA,NA,NA,1,,0,0,0,0,11978,,0,,0,0,1
8290,8243,6527a,Vitaceae,Leea,aculeata,Leea aculeata,Site1,Block63,Plot63e,6527,a,sappling,,NA,NA,NA,163,NA,NA,NA,NA,1,prostrate,15.34600925,09/07/2019,15.34600925,1,80,NA,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,1,0
